"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Jun 21 03:11:15 UTC 2025","Sat Jun 21 03:11:17 UTC 2025","1444","BookstoreAPITestSuite","AllTests","com.bookstore.tests.IntegrationTests","com.bookstore.tests.IntegrationTests","testAuthorDeletionImpactOnBook","testAuthorDeletionImpactOnBook","Test deleting an author and verify book remains unaffected"
"passed","Sat Jun 21 03:10:48 UTC 2025","Sat Jun 21 03:10:49 UTC 2025","311","BookstoreAPITestSuite","AllTests","com.bookstore.tests.AuthorApiTests","com.bookstore.tests.AuthorApiTests","testCreateAuthorWithLongData","testCreateAuthorWithLongData","Verify boundary testing with very long field values for author"
"passed","Sat Jun 21 03:11:01 UTC 2025","Sat Jun 21 03:11:01 UTC 2025","293","BookstoreAPITestSuite","AllTests","com.bookstore.tests.BookApiTests","com.bookstore.tests.BookApiTests","testCreateBookWithUnicodeCharacters","testCreateBookWithUnicodeCharacters","Verify Unicode/UTF-8 support in book data"
"passed","Sat Jun 21 03:11:10 UTC 2025","Sat Jun 21 03:11:11 UTC 2025","871","BookstoreAPITestSuite","AllTests","com.bookstore.tests.BookApiTests","com.bookstore.tests.BookApiTests","testUpdateBookIdempotency","testUpdateBookIdempotency","Verify that multiple identical update requests produce the same result"
"passed","Sat Jun 21 03:11:13 UTC 2025","Sat Jun 21 03:11:13 UTC 2025","572","BookstoreAPITestSuite","AllTests","com.bookstore.tests.BookApiTests","com.bookstore.tests.BookApiTests","testUpdateBookWithNullValues","testUpdateBookWithNullValues","Verify proper error handling when updating a book with null values"
"failed","Sat Jun 21 03:11:26 UTC 2025","Sat Jun 21 03:11:28 UTC 2025","1133","BookstoreAPITestSuite","AllTests","com.bookstore.tests.IntegrationTests","com.bookstore.tests.IntegrationTests","testDataIntegrityAfterPartialFailure","testDataIntegrityAfterPartialFailure","Test data integrity when part of a multi-step operation fails"
"passed","Sat Jun 21 03:11:02 UTC 2025","Sat Jun 21 03:11:02 UTC 2025","559","BookstoreAPITestSuite","AllTests","com.bookstore.tests.BookApiTests","com.bookstore.tests.BookApiTests","testCreateDuplicateBooks","testCreateDuplicateBooks","Verify behavior when creating books with identical data"
"failed","Sat Jun 21 03:10:47 UTC 2025","Sat Jun 21 03:10:48 UTC 2025","324","BookstoreAPITestSuite","AllTests","com.bookstore.tests.AuthorApiTests","com.bookstore.tests.AuthorApiTests","testCreateAuthorWithEmptyFields","testCreateAuthorWithEmptyFields","Verify proper error handling when creating author with empty required fields"
"failed","Sat Jun 21 03:11:14 UTC 2025","Sat Jun 21 03:11:15 UTC 2025","1452","BookstoreAPITestSuite","AllTests","com.bookstore.tests.IntegrationTests","com.bookstore.tests.IntegrationTests","testAuthorBookReferenceUpdate","testAuthorBookReferenceUpdate","Test updating author's book reference and verify data consistency"
"passed","Sat Jun 21 03:11:01 UTC 2025","Sat Jun 21 03:11:01 UTC 2025","278","BookstoreAPITestSuite","AllTests","com.bookstore.tests.BookApiTests","com.bookstore.tests.BookApiTests","testCreateBookWithSpecialCharacters","testCreateBookWithSpecialCharacters","Verify handling of special characters in book data"
"passed","Sat Jun 21 03:11:23 UTC 2025","Sat Jun 21 03:11:24 UTC 2025","888","BookstoreAPITestSuite","AllTests","com.bookstore.tests.IntegrationTests","com.bookstore.tests.IntegrationTests","testCreateAuthorThenBook","testCreateAuthorThenBook","Create an author first, then create a book and verify the relationship can be established"
"failed","Sat Jun 21 03:11:36 UTC 2025","Sat Jun 21 03:11:36 UTC 2025","273","BookstoreAPITestSuite","AllTests","com.bookstore.tests.SecurityTests","com.bookstore.tests.SecurityTests","testPathTraversalPrevention","testPathTraversalPrevention","Verify API prevents directory traversal attacks"
"passed","Sat Jun 21 03:11:12 UTC 2025","Sat Jun 21 03:11:13 UTC 2025","561","BookstoreAPITestSuite","AllTests","com.bookstore.tests.BookApiTests","com.bookstore.tests.BookApiTests","testUpdateBookWithNegativePageCount","testUpdateBookWithNegativePageCount","Verify boundary testing when updating book with negative page count"
"passed","Sat Jun 21 03:11:00 UTC 2025","Sat Jun 21 03:11:00 UTC 2025","300","BookstoreAPITestSuite","AllTests","com.bookstore.tests.BookApiTests","com.bookstore.tests.BookApiTests","testCreateBookWithLongData","testCreateBookWithLongData","Verify boundary testing with very long field values"
"passed","Sat Jun 21 03:11:34 UTC 2025","Sat Jun 21 03:11:34 UTC 2025","275","BookstoreAPITestSuite","AllTests","com.bookstore.tests.SecurityTests","com.bookstore.tests.SecurityTests","testCommandInjectionPrevention","testCommandInjectionPrevention","Verify API prevents command injection attacks"
"passed","Sat Jun 21 03:10:51 UTC 2025","Sat Jun 21 03:10:51 UTC 2025","319","BookstoreAPITestSuite","AllTests","com.bookstore.tests.AuthorApiTests","com.bookstore.tests.AuthorApiTests","testCreateAuthorWithUnicodeCharacters","testCreateAuthorWithUnicodeCharacters","Verify handling of Unicode characters in author names"
"passed","Sat Jun 21 03:11:36 UTC 2025","Sat Jun 21 03:11:36 UTC 2025","281","BookstoreAPITestSuite","AllTests","com.bookstore.tests.SecurityTests","com.bookstore.tests.SecurityTests","testSqlInjectionInBookFields","testSqlInjectionInBookFields","Verify API prevents SQL injection attacks in book data"
"passed","Sat Jun 21 03:11:11 UTC 2025","Sat Jun 21 03:11:12 UTC 2025","562","BookstoreAPITestSuite","AllTests","com.bookstore.tests.BookApiTests","com.bookstore.tests.BookApiTests","testUpdateBookPartialFields","testUpdateBookPartialFields","Verify partial update behavior with only some fields provided"
"failed","Sat Jun 21 03:11:17 UTC 2025","Sat Jun 21 03:11:18 UTC 2025","1136","BookstoreAPITestSuite","AllTests","com.bookstore.tests.IntegrationTests","com.bookstore.tests.IntegrationTests","testBookUpdateImpactOnAuthors","testBookUpdateImpactOnAuthors","Verify updating book information doesn't break author relationships"
"passed","Sat Jun 21 03:11:04 UTC 2025","Sat Jun 21 03:11:05 UTC 2025","1241","BookstoreAPITestSuite","AllTests","com.bookstore.tests.BookApiTests","com.bookstore.tests.BookApiTests","testGetAllBooks","testGetAllBooks","Verify that all books can be retrieved successfully"
"passed","Sat Jun 21 03:11:01 UTC 2025","Sat Jun 21 03:11:02 UTC 2025","291","BookstoreAPITestSuite","AllTests","com.bookstore.tests.BookApiTests","com.bookstore.tests.BookApiTests","testCreateBookWithZeroPageCount","testCreateBookWithZeroPageCount","Verify boundary testing with zero page count"
"passed","Sat Jun 21 03:10:53 UTC 2025","Sat Jun 21 03:10:54 UTC 2025","515","BookstoreAPITestSuite","AllTests","com.bookstore.tests.AuthorApiTests","com.bookstore.tests.AuthorApiTests","testGetAllAuthors","testGetAllAuthors","Verify that all authors can be retrieved successfully"
"passed","Sat Jun 21 03:11:36 UTC 2025","Sat Jun 21 03:11:36 UTC 2025","272","BookstoreAPITestSuite","AllTests","com.bookstore.tests.SecurityTests","com.bookstore.tests.SecurityTests","testNullByteInjectionPrevention","testNullByteInjectionPrevention","Verify API prevents null byte injection attacks"
"passed","Sat Jun 21 03:11:07 UTC 2025","Sat Jun 21 03:11:07 UTC 2025","348","BookstoreAPITestSuite","AllTests","com.bookstore.tests.BookApiTests","com.bookstore.tests.BookApiTests","testGetBookById","testGetBookById","Verify that a specific book can be retrieved by its ID"
"failed","Sat Jun 21 03:10:58 UTC 2025","Sat Jun 21 03:10:58 UTC 2025","279","BookstoreAPITestSuite","AllTests","com.bookstore.tests.AuthorApiTests","com.bookstore.tests.AuthorApiTests","testUpdateNonExistentAuthor","testUpdateNonExistentAuthor","Verify proper error handling when updating a non-existent author"
"failed","Sat Jun 21 03:11:13 UTC 2025","Sat Jun 21 03:11:14 UTC 2025","276","BookstoreAPITestSuite","AllTests","com.bookstore.tests.BookApiTests","com.bookstore.tests.BookApiTests","testUpdateNonExistentBook","testUpdateNonExistentBook","Verify proper error handling when updating a non-existent book"
"passed","Sat Jun 21 03:10:54 UTC 2025","Sat Jun 21 03:10:54 UTC 2025","392","BookstoreAPITestSuite","AllTests","com.bookstore.tests.AuthorApiTests","com.bookstore.tests.AuthorApiTests","testGetAllAuthorsPerformance","testGetAllAuthorsPerformance","Verify API response time is within acceptable limits"
"passed","Sat Jun 21 03:11:35 UTC 2025","Sat Jun 21 03:11:36 UTC 2025","1015","BookstoreAPITestSuite","AllTests","com.bookstore.tests.SecurityTests","com.bookstore.tests.SecurityTests","testLargePayloadHandling","testLargePayloadHandling","Verify API handles extremely large payloads gracefully"
"failed","Sat Jun 21 03:10:59 UTC 2025","Sat Jun 21 03:10:59 UTC 2025","317","BookstoreAPITestSuite","AllTests","com.bookstore.tests.BookApiTests","com.bookstore.tests.BookApiTests","testCreateBook","testCreateBook","Verify that a new book can be created successfully"
"passed","Sat Jun 21 03:10:55 UTC 2025","Sat Jun 21 03:10:56 UTC 2025","281","BookstoreAPITestSuite","AllTests","com.bookstore.tests.AuthorApiTests","com.bookstore.tests.AuthorApiTests","testGetAuthorByZeroId","testGetAuthorByZeroId","Verify proper error handling when requesting author with ID zero"
"passed","Sat Jun 21 03:11:09 UTC 2025","Sat Jun 21 03:11:10 UTC 2025","586","BookstoreAPITestSuite","AllTests","com.bookstore.tests.BookApiTests","com.bookstore.tests.BookApiTests","testUpdateBook","testUpdateBook","Verify that an existing book can be updated successfully"
"failed","Sat Jun 21 03:11:33 UTC 2025","Sat Jun 21 03:11:34 UTC 2025","1436","BookstoreAPITestSuite","AllTests","com.bookstore.tests.IntegrationTests","com.bookstore.tests.IntegrationTests","testRetrievalWithRelationshipValidation","testRetrievalWithRelationshipValidation","Test retrieving entities and verifying their relationships"
"passed","Sat Jun 21 03:10:54 UTC 2025","Sat Jun 21 03:10:54 UTC 2025","288","BookstoreAPITestSuite","AllTests","com.bookstore.tests.AuthorApiTests","com.bookstore.tests.AuthorApiTests","testGetAuthorByExtremelyLargeId","testGetAuthorByExtremelyLargeId","Verify proper error handling when requesting author with extremely large ID"
"failed","Sat Jun 21 03:10:55 UTC 2025","Sat Jun 21 03:10:55 UTC 2025","276","BookstoreAPITestSuite","AllTests","com.bookstore.tests.AuthorApiTests","com.bookstore.tests.AuthorApiTests","testGetAuthorByNegativeId","testGetAuthorByNegativeId","Verify proper error handling when requesting an author with negative ID"
"passed","Sat Jun 21 03:10:54 UTC 2025","Sat Jun 21 03:10:55 UTC 2025","315","BookstoreAPITestSuite","AllTests","com.bookstore.tests.AuthorApiTests","com.bookstore.tests.AuthorApiTests","testGetAuthorById","testGetAuthorById","Verify that a specific author can be retrieved by their ID"
"passed","Sat Jun 21 03:11:18 UTC 2025","Sat Jun 21 03:11:21 UTC 2025","2794","BookstoreAPITestSuite","AllTests","com.bookstore.tests.IntegrationTests","com.bookstore.tests.IntegrationTests","testBulkOperationsPerformance","testBulkOperationsPerformance","Test performance and consistency during bulk operations"
"failed","Sat Jun 21 03:11:22 UTC 2025","Sat Jun 21 03:11:23 UTC 2025","1448","BookstoreAPITestSuite","AllTests","com.bookstore.tests.IntegrationTests","com.bookstore.tests.IntegrationTests","testConcurrentOperationsOnRelatedEntities","testConcurrentOperationsOnRelatedEntities","Test concurrent operations on related entities"
"passed","Sat Jun 21 03:11:34 UTC 2025","Sat Jun 21 03:11:35 UTC 2025","275","BookstoreAPITestSuite","AllTests","com.bookstore.tests.SecurityTests","com.bookstore.tests.SecurityTests","testHeaderInjectionPrevention","testHeaderInjectionPrevention","Verify API prevents HTTP header injection attacks"
"failed","Sat Jun 21 03:10:48 UTC 2025","Sat Jun 21 03:10:48 UTC 2025","305","BookstoreAPITestSuite","AllTests","com.bookstore.tests.AuthorApiTests","com.bookstore.tests.AuthorApiTests","testCreateAuthorWithInvalidData","testCreateAuthorWithInvalidData","Verify proper error handling when creating an author with invalid data"
"passed","Sat Jun 21 03:10:59 UTC 2025","Sat Jun 21 03:10:59 UTC 2025","283","BookstoreAPITestSuite","AllTests","com.bookstore.tests.BookApiTests","com.bookstore.tests.BookApiTests","testCreateBookPerformance","testCreateBookPerformance","Verify book creation performance is within acceptable limits"
"failed","Sat Jun 21 03:11:36 UTC 2025","Sat Jun 21 03:11:37 UTC 2025","278","BookstoreAPITestSuite","AllTests","com.bookstore.tests.SecurityTests","com.bookstore.tests.SecurityTests","testXssPreventionInBookFields","testXssPreventionInBookFields","Verify API prevents Cross-Site Scripting attacks"
"passed","Sat Jun 21 03:11:29 UTC 2025","Sat Jun 21 03:11:33 UTC 2025","3652","BookstoreAPITestSuite","AllTests","com.bookstore.tests.IntegrationTests","com.bookstore.tests.IntegrationTests","testRelationshipBoundaryConditions","testRelationshipBoundaryConditions","Test boundary conditions for entity relationships"
"failed","Sat Jun 21 03:10:52 UTC 2025","Sat Jun 21 03:10:53 UTC 2025","851","BookstoreAPITestSuite","AllTests","com.bookstore.tests.AuthorApiTests","com.bookstore.tests.AuthorApiTests","testDoubleDeleteAuthor","testDoubleDeleteAuthor","Verify behavior when attempting to delete an already deleted author"
"passed","Sat Jun 21 03:10:50 UTC 2025","Sat Jun 21 03:10:51 UTC 2025","724","BookstoreAPITestSuite","AllTests","com.bookstore.tests.AuthorApiTests","com.bookstore.tests.AuthorApiTests","testCreateAuthorWithSqlInjection","testCreateAuthorWithSqlInjection","Verify protection against SQL injection attempts in author data"
"failed","Sat Jun 21 03:11:03 UTC 2025","Sat Jun 21 03:11:04 UTC 2025","277","BookstoreAPITestSuite","AllTests","com.bookstore.tests.BookApiTests","com.bookstore.tests.BookApiTests","testDeleteNonExistentBook","testDeleteNonExistentBook","Verify proper error handling when deleting a non-existent book"
"passed","Sat Jun 21 03:11:07 UTC 2025","Sat Jun 21 03:11:08 UTC 2025","320","BookstoreAPITestSuite","AllTests","com.bookstore.tests.BookApiTests","com.bookstore.tests.BookApiTests","testGetBookByInvalidId","testGetBookByInvalidId","Verify proper error handling when requesting a book with invalid ID"
"passed","Sat Jun 21 03:10:49 UTC 2025","Sat Jun 21 03:10:49 UTC 2025","310","BookstoreAPITestSuite","AllTests","com.bookstore.tests.AuthorApiTests","com.bookstore.tests.AuthorApiTests","testCreateAuthorWithMaxIntegerValues","testCreateAuthorWithMaxIntegerValues","Verify handling of maximum integer values for numeric fields"
"passed","Sat Jun 21 03:10:44 UTC 2025","Sat Jun 21 03:10:47 UTC 2025","3650","BookstoreAPITestSuite","AllTests","com.bookstore.tests.AuthorApiTests","com.bookstore.tests.AuthorApiTests","testCreateAuthor","testCreateAuthor","Verify that a new author can be created successfully"
"passed","Sat Jun 21 03:11:00 UTC 2025","Sat Jun 21 03:11:00 UTC 2025","284","BookstoreAPITestSuite","AllTests","com.bookstore.tests.BookApiTests","com.bookstore.tests.BookApiTests","testCreateBookWithMaxLengthData","testCreateBookWithMaxLengthData","Verify boundary testing with maximum allowed field lengths"
"passed","Sat Jun 21 03:11:10 UTC 2025","Sat Jun 21 03:11:10 UTC 2025","564","BookstoreAPITestSuite","AllTests","com.bookstore.tests.BookApiTests","com.bookstore.tests.BookApiTests","testUpdateBookIdMismatch","testUpdateBookIdMismatch","Verify behavior when URL ID doesn't match request body ID"
"passed","Sat Jun 21 03:11:24 UTC 2025","Sat Jun 21 03:11:25 UTC 2025","602","BookstoreAPITestSuite","AllTests","com.bookstore.tests.IntegrationTests","com.bookstore.tests.IntegrationTests","testCreateBookAndAssociatedAuthor","testCreateBookAndAssociatedAuthor","Create a book and then create an author associated with that book"
"passed","Sat Jun 21 03:11:26 UTC 2025","Sat Jun 21 03:11:26 UTC 2025","858","BookstoreAPITestSuite","AllTests","com.bookstore.tests.IntegrationTests","com.bookstore.tests.IntegrationTests","testDataConsistencyAcrossEntities","testDataConsistencyAcrossEntities","Verify data consistency when updating related entities"
"passed","Sat Jun 21 03:11:00 UTC 2025","Sat Jun 21 03:11:00 UTC 2025","273","BookstoreAPITestSuite","AllTests","com.bookstore.tests.BookApiTests","com.bookstore.tests.BookApiTests","testCreateBookWithNegativePageCount","testCreateBookWithNegativePageCount","Verify boundary testing when creating book with negative page count"
"passed","Sat Jun 21 03:10:57 UTC 2025","Sat Jun 21 03:10:58 UTC 2025","563","BookstoreAPITestSuite","AllTests","com.bookstore.tests.AuthorApiTests","com.bookstore.tests.AuthorApiTests","testUpdateAuthorWithIdMismatch","testUpdateAuthorWithIdMismatch","Verify proper error handling when update path ID doesn't match body ID"
"passed","Sat Jun 21 03:11:21 UTC 2025","Sat Jun 21 03:11:22 UTC 2025","1440","BookstoreAPITestSuite","AllTests","com.bookstore.tests.IntegrationTests","com.bookstore.tests.IntegrationTests","testCascadeDeleteBehavior","testCascadeDeleteBehavior","Test behavior when deleting a book that has associated authors"
"passed","Sat Jun 21 03:11:05 UTC 2025","Sat Jun 21 03:11:06 UTC 2025","933","BookstoreAPITestSuite","AllTests","com.bookstore.tests.BookApiTests","com.bookstore.tests.BookApiTests","testGetAllBooksPerformance","testGetAllBooksPerformance","Verify API response time is within acceptable limits"
"passed","Sat Jun 21 03:10:59 UTC 2025","Sat Jun 21 03:11:00 UTC 2025","279","BookstoreAPITestSuite","AllTests","com.bookstore.tests.BookApiTests","com.bookstore.tests.BookApiTests","testCreateBookWithInvalidData","testCreateBookWithInvalidData","Verify proper error handling when creating a book with invalid data"
"passed","Sat Jun 21 03:11:00 UTC 2025","Sat Jun 21 03:11:01 UTC 2025","286","BookstoreAPITestSuite","AllTests","com.bookstore.tests.BookApiTests","com.bookstore.tests.BookApiTests","testCreateBookWithNullValues","testCreateBookWithNullValues","Verify proper error handling when creating a book with null values"
"failed","Sat Jun 21 03:11:08 UTC 2025","Sat Jun 21 03:11:08 UTC 2025","331","BookstoreAPITestSuite","AllTests","com.bookstore.tests.BookApiTests","com.bookstore.tests.BookApiTests","testGetBookByNegativeId","testGetBookByNegativeId","Verify proper error handling when requesting a book with negative ID"
"passed","Sat Jun 21 03:10:56 UTC 2025","Sat Jun 21 03:10:56 UTC 2025","465","BookstoreAPITestSuite","AllTests","com.bookstore.tests.AuthorApiTests","com.bookstore.tests.AuthorApiTests","testGetAuthorsByBookId","testGetAuthorsByBookId","Verify retrieving authors for a specific book"
"failed","Sat Jun 21 03:10:49 UTC 2025","Sat Jun 21 03:10:50 UTC 2025","311","BookstoreAPITestSuite","AllTests","com.bookstore.tests.AuthorApiTests","com.bookstore.tests.AuthorApiTests","testCreateAuthorWithNullFields","testCreateAuthorWithNullFields","Verify proper error handling when creating author with null required fields"
"passed","Sat Jun 21 03:11:12 UTC 2025","Sat Jun 21 03:11:12 UTC 2025","558","BookstoreAPITestSuite","AllTests","com.bookstore.tests.BookApiTests","com.bookstore.tests.BookApiTests","testUpdateBookWithInvalidData","testUpdateBookWithInvalidData","Verify proper error handling when updating a book with invalid data"
"passed","Sat Jun 21 03:10:49 UTC 2025","Sat Jun 21 03:10:49 UTC 2025","337","BookstoreAPITestSuite","AllTests","com.bookstore.tests.AuthorApiTests","com.bookstore.tests.AuthorApiTests","testCreateAuthorWithMalformedJson","testCreateAuthorWithMalformedJson","Verify proper error handling when sending malformed JSON payload"
"failed","Sat Jun 21 03:10:58 UTC 2025","Sat Jun 21 03:10:59 UTC 2025","585","BookstoreAPITestSuite","AllTests","com.bookstore.tests.BookApiTests","com.bookstore.tests.BookApiTests","testConcurrentBookCreation","testConcurrentBookCreation","Verify behavior with concurrent create operations"
"failed","Sat Jun 21 03:10:52 UTC 2025","Sat Jun 21 03:10:52 UTC 2025","302","BookstoreAPITestSuite","AllTests","com.bookstore.tests.AuthorApiTests","com.bookstore.tests.AuthorApiTests","testDeleteNonExistentAuthor","testDeleteNonExistentAuthor","Verify proper error handling when deleting a non-existent author"
"failed","Sat Jun 21 03:11:25 UTC 2025","Sat Jun 21 03:11:26 UTC 2025","556","BookstoreAPITestSuite","AllTests","com.bookstore.tests.IntegrationTests","com.bookstore.tests.IntegrationTests","testCrossApiErrorHandling","testCrossApiErrorHandling","Test error handling scenarios across multiple APIs"
"broken","Sat Jun 21 03:10:51 UTC 2025","Sat Jun 21 03:10:51 UTC 2025","9","BookstoreAPITestSuite","AllTests","com.bookstore.tests.AuthorApiTests","com.bookstore.tests.AuthorApiTests","testCreateAuthorWithWrongContentType","testCreateAuthorWithWrongContentType","Verify proper error handling when sending request with wrong content type"
"failed","Sat Jun 21 03:10:50 UTC 2025","Sat Jun 21 03:10:50 UTC 2025","308","BookstoreAPITestSuite","AllTests","com.bookstore.tests.AuthorApiTests","com.bookstore.tests.AuthorApiTests","testCreateAuthorWithSpecialCharacters","testCreateAuthorWithSpecialCharacters","Verify handling of special characters in author names"
