"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Books API Testing","Books CRUD Operations","Create Book with Invalid Data","0","0","1","0","0"
"Books API Testing","Books CRUD Operations","Delete Book with Negative ID","1","0","0","0","0"
"Integration Testing","Books and Authors Integration","Author Update Book Reference","1","0","0","0","0"
"Integration Testing","Books and Authors Integration","Cascade Operations","0","0","1","0","0"
"Books API Testing","Books CRUD Operations","Update Book Idempotency","0","0","1","0","0"
"Books API Testing","Books CRUD Operations","Get Book by Negative ID","1","0","0","0","0"
"Authors API Testing","Authors CRUD Operations","Input Validation - Unicode Characters","0","0","1","0","0"
"Integration Testing","Books and Authors Integration","Update Operations Impact","1","0","0","0","0"
"Authors API Testing","Authors CRUD Operations","Delete Author","0","0","1","0","0"
"Books API Testing","Books CRUD Operations","Create Book with Zero Page Count","0","0","1","0","0"
"Integration Testing","Books and Authors Integration","Reverse Creation Flow","0","0","1","0","0"
"Authors API Testing","Authors CRUD Operations","Edge Cases - Extremely Large ID","0","0","1","0","0"
"Authors API Testing","Authors CRUD Operations","Get All Authors","0","0","1","0","0"
"Authors API Testing","Authors CRUD Operations","Get Author by Negative ID","1","0","0","0","0"
"Authors API Testing","Authors CRUD Operations","Authors for Specific Book","0","0","1","0","0"
"Security Testing","Input Validation and Attack Prevention","Null Byte Injection Prevention","0","0","1","0","0"
"Authors API Testing","Authors CRUD Operations","Data Validation - SQL Injection Prevention","0","0","1","0","0"
"Integration Testing","Books and Authors Integration","Data Integrity After Partial Failures","1","0","0","0","0"
"Books API Testing","Books CRUD Operations","Create Book with Special Characters","0","0","1","0","0"
"Authors API Testing","Authors CRUD Operations","Create Author with Invalid Data","1","0","0","0","0"
"Authors API Testing","Authors CRUD Operations","Partial Update - Single Field","0","0","1","0","0"
"Security Testing","Input Validation and Attack Prevention","Path Traversal Prevention","1","0","0","0","0"
"Books API Testing","Books CRUD Operations","Get Book by ID","0","0","1","0","0"
"Authors API Testing","Authors CRUD Operations","Data Consistency - Invalid Book Reference","0","0","1","0","0"
"Security Testing","Input Validation and Attack Prevention","Command Injection Prevention","0","0","1","0","0"
